danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.471,0.658,7,-4.433,1,0.0306,0.00745,0,0.0803,0.265,149.944,audio_features,6dxjfasDAe8v56M308tQdz,spotify:track:6dxjfasDAe8v56M308tQdz,https://api.spotify.com/v1/tracks/6dxjfasDAe8v56M308tQdz,https://api.spotify.com/v1/audio-analysis/6dxjfasDAe8v56M308tQdz,222307,4
0.548,0.871,11,-5.377,1,0.123,0.0397,0,0.357,0.487,120.009,audio_features,5QseXDzPvtjdeaWNhYbm0m,spotify:track:5QseXDzPvtjdeaWNhYbm0m,https://api.spotify.com/v1/tracks/5QseXDzPvtjdeaWNhYbm0m,https://api.spotify.com/v1/audio-analysis/5QseXDzPvtjdeaWNhYbm0m,196497,4
0.471,0.868,1,-2.291,1,0.0295,0.0384,0,0.297,0.811,173.969,audio_features,45YBVp6zMwQZRbUDcPzmMB,spotify:track:45YBVp6zMwQZRbUDcPzmMB,https://api.spotify.com/v1/tracks/45YBVp6zMwQZRbUDcPzmMB,https://api.spotify.com/v1/audio-analysis/45YBVp6zMwQZRbUDcPzmMB,288013,4
0.545,0.745,2,-3.098,1,0.0286,0.0452,0,0.0907,0.413,106.094,audio_features,5NqGfELjcdvRIUuhgZJ34W,spotify:track:5NqGfELjcdvRIUuhgZJ34W,https://api.spotify.com/v1/tracks/5NqGfELjcdvRIUuhgZJ34W,https://api.spotify.com/v1/audio-analysis/5NqGfELjcdvRIUuhgZJ34W,306627,4
0.584,0.911,5,-3.515,0,0.09,0.0119,0,0.119,0.606,92.502,audio_features,6y4GYuZszeXNOXuBFsJlos,spotify:track:6y4GYuZszeXNOXuBFsJlos,https://api.spotify.com/v1/tracks/6y4GYuZszeXNOXuBFsJlos,https://api.spotify.com/v1/audio-analysis/6y4GYuZszeXNOXuBFsJlos,221426,4
0.598,0.706,1,-6.827,1,0.0491,0.11,0,0.0925,0.262,133.847,audio_features,0f3Ce9xjHymExIpEyHUC8D,spotify:track:0f3Ce9xjHymExIpEyHUC8D,https://api.spotify.com/v1/tracks/0f3Ce9xjHymExIpEyHUC8D,https://api.spotify.com/v1/audio-analysis/0f3Ce9xjHymExIpEyHUC8D,240080,4
0.534,0.642,2,-5.568,1,0.0372,0.52,0,0.39,0.443,155.916,audio_features,4Jj31lihp5Nvdi4lFRjrqc,spotify:track:4Jj31lihp5Nvdi4lFRjrqc,https://api.spotify.com/v1/tracks/4Jj31lihp5Nvdi4lFRjrqc,https://api.spotify.com/v1/audio-analysis/4Jj31lihp5Nvdi4lFRjrqc,223640,4
0.707,0.292,2,-9.767,1,0.0309,0.724,0.00235,0.235,0.637,80.016,audio_features,4MwVirVMyerMiHkFomOZay,spotify:track:4MwVirVMyerMiHkFomOZay,https://api.spotify.com/v1/tracks/4MwVirVMyerMiHkFomOZay,https://api.spotify.com/v1/audio-analysis/4MwVirVMyerMiHkFomOZay,290467,4
0.633,0.723,8,-5.733,0,0.143,0.107,0,0.0818,0.688,103.101,audio_features,1rd3RSjrOShIUG8rG9FvDI,spotify:track:1rd3RSjrOShIUG8rG9FvDI,https://api.spotify.com/v1/tracks/1rd3RSjrOShIUG8rG9FvDI,https://api.spotify.com/v1/audio-analysis/1rd3RSjrOShIUG8rG9FvDI,264533,4
0.538,0.869,8,-3.464,1,0.0275,0.047,0,0.14,0.369,91.972,audio_features,2fUq6dltKy0EP9pV976nQH,spotify:track:2fUq6dltKy0EP9pV976nQH,https://api.spotify.com/v1/tracks/2fUq6dltKy0EP9pV976nQH,https://api.spotify.com/v1/audio-analysis/2fUq6dltKy0EP9pV976nQH,326843,4
0.679,0.834,5,-3.223,1,0.032,0.343,5.74e-06,0.119,0.962,139.996,audio_features,3wJHCry960drNlAUGrJLmz,spotify:track:3wJHCry960drNlAUGrJLmz,https://api.spotify.com/v1/tracks/3wJHCry960drNlAUGrJLmz,https://api.spotify.com/v1/audio-analysis/3wJHCry960drNlAUGrJLmz,198971,4
0.724,0.54,3,-6.616,1,0.099,0.119,0,0.0475,0.445,92.928,audio_features,2KupYVG8q3fqBPtPdTxbbC,spotify:track:2KupYVG8q3fqBPtPdTxbbC,https://api.spotify.com/v1/tracks/2KupYVG8q3fqBPtPdTxbbC,https://api.spotify.com/v1/audio-analysis/2KupYVG8q3fqBPtPdTxbbC,299236,4
0.533,0.918,4,-2.095,1,0.0616,0.00894,0,0.643,0.662,92.504,audio_features,2vOAHp8PBBFYqvQUWSoITY,spotify:track:2vOAHp8PBBFYqvQUWSoITY,https://api.spotify.com/v1/tracks/2vOAHp8PBBFYqvQUWSoITY,https://api.spotify.com/v1/audio-analysis/2vOAHp8PBBFYqvQUWSoITY,211600,4
0.59,0.315,5,-9.252,1,0.0292,0.669,0,0.174,0.214,86.022,audio_features,4QnBgXJAEoHjKj6LiKP9wS,spotify:track:4QnBgXJAEoHjKj6LiKP9wS,https://api.spotify.com/v1/tracks/4QnBgXJAEoHjKj6LiKP9wS,https://api.spotify.com/v1/audio-analysis/4QnBgXJAEoHjKj6LiKP9wS,298373,4
0.447,0.845,9,-3.412,1,0.0967,0.131,0,0.318,0.347,185.07,audio_features,6MzEXh13iE5RV4mmL1jcq6,spotify:track:6MzEXh13iE5RV4mmL1jcq6,https://api.spotify.com/v1/tracks/6MzEXh13iE5RV4mmL1jcq6,https://api.spotify.com/v1/audio-analysis/6MzEXh13iE5RV4mmL1jcq6,177000,4
0.579,0.467,1,-6.576,1,0.0323,0.379,0.000158,0.158,0.484,170.038,audio_features,1srR6pbN1YCtIulufVNeMZ,spotify:track:1srR6pbN1YCtIulufVNeMZ,https://api.spotify.com/v1/tracks/1srR6pbN1YCtIulufVNeMZ,https://api.spotify.com/v1/audio-analysis/1srR6pbN1YCtIulufVNeMZ,202720,4
0.759,0.841,11,-3.009,1,0.0471,0.183,0,0.129,0.68,98.077,audio_features,2Z9uKa1QrSC4Nw8qc12d3F,spotify:track:2Z9uKa1QrSC4Nw8qc12d3F,https://api.spotify.com/v1/tracks/2Z9uKa1QrSC4Nw8qc12d3F,https://api.spotify.com/v1/audio-analysis/2Z9uKa1QrSC4Nw8qc12d3F,211292,4
0.394,0.923,11,-5.176,0,0.138,0.00364,2.03e-05,0.0935,0.655,200.256,audio_features,3gDiw8PdwXGgszpvBkeS4N,spotify:track:3gDiw8PdwXGgszpvBkeS4N,https://api.spotify.com/v1/tracks/3gDiw8PdwXGgszpvBkeS4N,https://api.spotify.com/v1/audio-analysis/3gDiw8PdwXGgszpvBkeS4N,208805,4
0.685,0.954,11,-4.629,0,0.119,0.00517,0,0.115,0.47,131.973,audio_features,2tgcrTiY6vDVxMw8OoeFZl,spotify:track:2tgcrTiY6vDVxMw8OoeFZl,https://api.spotify.com/v1/tracks/2tgcrTiY6vDVxMw8OoeFZl,https://api.spotify.com/v1/audio-analysis/2tgcrTiY6vDVxMw8OoeFZl,225333,4
0.559,0.973,4,-3.387,0,0.0881,0.0573,0,0.558,0.632,135.012,audio_features,2tsLlVimy76AMvExz49PmL,spotify:track:2tsLlVimy76AMvExz49PmL,https://api.spotify.com/v1/tracks/2tsLlVimy76AMvExz49PmL,https://api.spotify.com/v1/audio-analysis/2tsLlVimy76AMvExz49PmL,89947,4
0.712,0.817,1,-5.123,1,0.0279,0.0717,7.21e-06,0.146,0.679,100.016,audio_features,5D9MPWdY2hjSeTIGE5n5kv,spotify:track:5D9MPWdY2hjSeTIGE5n5kv,https://api.spotify.com/v1/tracks/5D9MPWdY2hjSeTIGE5n5kv,https://api.spotify.com/v1/audio-analysis/5D9MPWdY2hjSeTIGE5n5kv,243613,4
0.648,0.904,6,-4.565,0,0.0786,0.0961,2.07e-06,0.0629,0.728,121.994,audio_features,7kRKlFCFLAUwt43HWtauhX,spotify:track:7kRKlFCFLAUwt43HWtauhX,https://api.spotify.com/v1/tracks/7kRKlFCFLAUwt43HWtauhX,https://api.spotify.com/v1/audio-analysis/7kRKlFCFLAUwt43HWtauhX,327967,4
0.65,0.88,4,-5.326,1,0.0283,0.36,0.00369,0.23,0.921,124.985,audio_features,5j7ixaLeGTGSv4DzKs0pCM,spotify:track:5j7ixaLeGTGSv4DzKs0pCM,https://api.spotify.com/v1/tracks/5j7ixaLeGTGSv4DzKs0pCM,https://api.spotify.com/v1/audio-analysis/5j7ixaLeGTGSv4DzKs0pCM,242913,4
0.674,0.365,6,-8.141,1,0.0278,0.519,1.23e-05,0.136,0.425,144.038,audio_features,0Rh9oTLfTK67H2UdAYlrL3,spotify:track:0Rh9oTLfTK67H2UdAYlrL3,https://api.spotify.com/v1/tracks/0Rh9oTLfTK67H2UdAYlrL3,https://api.spotify.com/v1/audio-analysis/0Rh9oTLfTK67H2UdAYlrL3,291880,4
0.679,0.931,1,-3.74,0,0.0474,0.00466,0,0.0652,0.962,121.001,audio_features,7wa1cHqTRdjXZuqo4iigj1,spotify:track:7wa1cHqTRdjXZuqo4iigj1,https://api.spotify.com/v1/tracks/7wa1cHqTRdjXZuqo4iigj1,https://api.spotify.com/v1/audio-analysis/7wa1cHqTRdjXZuqo4iigj1,243813,4
0.669,0.505,9,-7.575,1,0.0649,0.417,0,0.124,0.31,156.023,audio_features,34q8amlFXi2mns8FGLKCa8,spotify:track:34q8amlFXi2mns8FGLKCa8,https://api.spotify.com/v1/tracks/34q8amlFXi2mns8FGLKCa8,https://api.spotify.com/v1/audio-analysis/34q8amlFXi2mns8FGLKCa8,271093,4
0.711,0.655,11,-5.987,0,0.047,0.0233,0.00045,0.115,0.759,90.98,audio_features,0oYjbNIJvhu53MJGTgL1ih,spotify:track:0oYjbNIJvhu53MJGTgL1ih,https://api.spotify.com/v1/tracks/0oYjbNIJvhu53MJGTgL1ih,https://api.spotify.com/v1/audio-analysis/0oYjbNIJvhu53MJGTgL1ih,226444,4
0.445,0.974,5,-1.455,1,0.0696,0.000826,0,0.292,0.414,134.969,audio_features,0bgujdpFkvd6vmQpqmT2pz,spotify:track:0bgujdpFkvd6vmQpqmT2pz,https://api.spotify.com/v1/tracks/0bgujdpFkvd6vmQpqmT2pz,https://api.spotify.com/v1/audio-analysis/0bgujdpFkvd6vmQpqmT2pz,206307,4
0.719,0.87,10,-3.073,1,0.0472,0.321,0,0.187,0.732,134.979,audio_features,0T4AitQuq8IJhWBWuZwkFA,spotify:track:0T4AitQuq8IJhWBWuZwkFA,https://api.spotify.com/v1/tracks/0T4AitQuq8IJhWBWuZwkFA,https://api.spotify.com/v1/audio-analysis/0T4AitQuq8IJhWBWuZwkFA,248444,4
0.686,0.902,0,-2.657,0,0.034,0.0591,0,0.333,0.901,130.02,audio_features,7HneEBTvTra2CRYsxgMOAi,spotify:track:7HneEBTvTra2CRYsxgMOAi,https://api.spotify.com/v1/tracks/7HneEBTvTra2CRYsxgMOAi,https://api.spotify.com/v1/audio-analysis/7HneEBTvTra2CRYsxgMOAi,198000,4
0.605,0.891,1,-3.242,1,0.115,0.562,0,0.322,0.697,93.011,audio_features,4wel6DQu0dMVBRVn2ZTPoy,spotify:track:4wel6DQu0dMVBRVn2ZTPoy,https://api.spotify.com/v1/tracks/4wel6DQu0dMVBRVn2ZTPoy,https://api.spotify.com/v1/audio-analysis/4wel6DQu0dMVBRVn2ZTPoy,276373,4
0.655,0.962,1,-3.055,0,0.0443,0.0197,5.56e-06,0.253,0.775,129.902,audio_features,4HgsPAX3MmMgIT60hJ4W4U,spotify:track:4HgsPAX3MmMgIT60hJ4W4U,https://api.spotify.com/v1/tracks/4HgsPAX3MmMgIT60hJ4W4U,https://api.spotify.com/v1/audio-analysis/4HgsPAX3MmMgIT60hJ4W4U,260800,4
0.481,0.737,1,-3.353,1,0.0359,0.0531,0,0.365,0.528,159.945,audio_features,6tZs6KEpYlisADcZztvXyV,spotify:track:6tZs6KEpYlisADcZztvXyV,https://api.spotify.com/v1/tracks/6tZs6KEpYlisADcZztvXyV,https://api.spotify.com/v1/audio-analysis/6tZs6KEpYlisADcZztvXyV,232172,4
0.54,0.752,11,-5.212,1,0.0267,0.159,0,0.363,0.462,84.033,audio_features,7CZKnz9mEt8Z638tyY5cKL,spotify:track:7CZKnz9mEt8Z638tyY5cKL,https://api.spotify.com/v1/tracks/7CZKnz9mEt8Z638tyY5cKL,https://api.spotify.com/v1/audio-analysis/7CZKnz9mEt8Z638tyY5cKL,271520,4
0.627,0.67,4,-6.619,1,0.0368,0.0418,0.00213,0.0818,0.537,110.004,audio_features,43u7TD6tJ0hBYQkigl0chT,spotify:track:43u7TD6tJ0hBYQkigl0chT,https://api.spotify.com/v1/tracks/43u7TD6tJ0hBYQkigl0chT,https://api.spotify.com/v1/audio-analysis/43u7TD6tJ0hBYQkigl0chT,178893,4
0.77,0.852,6,-5.564,1,0.0789,0.0714,0,0.063,0.833,113.967,audio_features,6MCqARqpbUAGUIvWh8bxaw,spotify:track:6MCqARqpbUAGUIvWh8bxaw,https://api.spotify.com/v1/tracks/6MCqARqpbUAGUIvWh8bxaw,https://api.spotify.com/v1/audio-analysis/6MCqARqpbUAGUIvWh8bxaw,240253,4
